graph_id,source,n_nodes,n_edges,n_nodes_reduced,n_edges_reduced,clf_f1,clf_auc,clf_precision,clf_recall,pipeline_cover_size,baseline_cover_size,optimality_gap,cover_valid,feature_extraction_time,pipeline_runtime,baseline_runtime,speedup,node_reduction,edge_reduction,n_forced
27,tudataset:PROTEINS,154,281,151,276,0.7386363636363636,0.7841506872560665,0.6989247311827957,0.7831325301204819,84,83,0.012048192771084338,True,0.15669129928573966,0.07232139818370342,0.06167743680998683,0.8528241759557815,0.01948051948051948,0.017793594306049876,4
28,tudataset:NCI1,18,20,16,18,0.6,0.4814814814814815,0.5454545454545454,0.6666666666666666,9,9,0.0,True,0.013940158765763044,0.054364964831620455,0.04276952473446727,0.7867111634659074,0.1111111111111111,0.09999999999999998,2
29,erdos,15,51,15,51,0.9285714285714286,0.5576923076923077,0.8666666666666667,1.0,13,13,0.0,True,0.03222214477136731,0.06976894568651915,0.04547231923788786,0.6517558605830285,0.0,0.0,0
30,tudataset:PROTEINS,12,24,12,24,0.8421052631578947,0.75,0.7272727272727273,1.0,8,8,0.0,True,0.013958768919110298,0.057111776899546385,0.04564438108354807,0.799211363425651,0.0,0.0,0
31,tudataset:PROTEINS,54,112,52,106,0.8615384615384616,0.8722222222222223,0.8,0.9333333333333333,31,30,0.03333333333333333,True,0.07448175642639399,0.06413990678265691,0.05230208672583103,0.8154375232109511,0.037037037037037035,0.0535714285714286,4
32,tudataset:NCI1,23,25,18,20,0.6086956521739131,0.6742424242424242,0.5833333333333334,0.6363636363636364,12,11,0.09090909090909091,True,0.020546446088701487,0.044194967951625586,0.044496830087155104,1.006830237683619,0.21739130434782608,0.19999999999999996,4
33,tudataset:MUTAG,13,14,11,12,0.7058823529411765,0.8809523809523809,0.5454545454545454,1.0,6,6,0.0,True,0.010553520172834396,0.05352186597883701,0.04400581633672118,0.8222025807942018,0.15384615384615385,0.1428571428571429,1
34,erdos,17,27,13,22,0.8571428571428571,0.8357142857142857,0.8181818181818182,0.9,11,10,0.1,True,0.013706966768950224,0.05130829894915223,0.03195101302117109,0.6227260243578787,0.23529411764705882,0.18518518518518523,5
35,tudataset:NCI1,34,40,34,40,0.8421052631578947,0.9652777777777778,0.7272727272727273,1.0,16,16,0.0,True,0.026712818071246147,0.06601116387173533,0.034402642864733934,0.5211640099480879,0.0,0.0,0
36,tudataset:PROTEINS,21,37,21,37,0.8125,0.6785714285714286,0.7222222222222222,0.9285714285714286,14,14,0.0,True,0.01640497101470828,0.05985844088718295,0.019149864092469215,0.31991919282631426,0.0,0.0,0
