run,feature_id,feature_name,feature_type,importance
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f102,rw_avg_dist_2hop_nbrs,RW,5.5574
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f92,rw_avg_neighbor_degree,RW,5.211
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f35,gdv_orbit_22,GDV,4.7091
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f91,rw_local_clustering,RW,4.489
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f104,rw_commute_time_proxy,RW,4.1811
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f97,rw_betweenness_centrality,RW,4.1074
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f34,gdv_orbit_21,GDV,4.0787
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f30,gdv_orbit_17,GDV,4.0562
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f93,rw_max_neighbor_degree,RW,4.0395
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f99,rw_pagerank,RW,3.9584
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f96,rw_closeness_centrality,RW,3.9006
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f101,rw_eccentricity,RW,3.8901
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f33,gdv_orbit_20,GDV,3.7882
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f22,gdv_orbit_9,GDV,3.7747
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f95,rw_degree_centrality,RW,3.7581
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f87,rw_degree_normalized,RW,3.6895
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f98,rw_eigenvector_centrality,RW,3.5725
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f29,gdv_orbit_16,GDV,3.5512
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f103,rw_hitting_time_proxy,RW,3.3521
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f21,gdv_orbit_8,GDV,3.3359
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f37,gdv_orbit_24,GDV,3.292
erdos_tudataset-MUTAG_tudataset-NCI1_tudataset-PROTEINS,f90,rw_stationary_prob,RW,3.2196
synthetic-medium,f86,rw_degree,RW,73.5068
synthetic-medium,f14,gdv_orbit_1,GDV,31.4873
synthetic-medium,f88,rw_return_prob_t2,RW,16.4419
synthetic-medium,f89,rw_return_prob_t4,RW,14.2889
synthetic-medium,f94,rw_min_neighbor_degree,RW,10.5297
synthetic-medium,f103,rw_hitting_time_proxy,RW,10.0067
synthetic-medium,f100,rw_core_number,RW,8.3313
synthetic-medium,f16,gdv_orbit_3,GDV,7.624
synthetic-medium,f105,rw_triangle_count,RW,6.6111
synthetic-medium,f87,rw_degree_normalized,RW,6.4449
synthetic-medium,f102,rw_avg_dist_2hop_nbrs,RW,6.4258
synthetic-medium,f1,vsko_sym3,VSKO,6.3355
synthetic-medium,f92,rw_avg_neighbor_degree,RW,6.1238
synthetic-medium,f0,vsko_sym2_1,VSKO,5.2809
synthetic-medium,f97,rw_betweenness_centrality,RW,5.1305
synthetic-medium,f90,rw_stationary_prob,RW,4.4742
synthetic-medium,f13,gdv_orbit_0,GDV,4.2414
synthetic-medium,f96,rw_closeness_centrality,RW,4.1199
synthetic-medium,f93,rw_max_neighbor_degree,RW,4.0942
synthetic-medium,f91,rw_local_clustering,RW,4.0234
synthetic-medium,f29,gdv_orbit_16,GDV,4.0095
synthetic-medium,f98,rw_eigenvector_centrality,RW,3.9289
synthetic-medium,f104,rw_commute_time_proxy,RW,3.8895
synthetic-medium,f30,gdv_orbit_17,GDV,3.8788
synthetic-medium,f22,gdv_orbit_9,GDV,3.7472
synthetic-medium,f37,gdv_orbit_24,GDV,3.6492
synthetic-medium,f101,rw_eccentricity,RW,3.4764
synthetic-medium,f34,gdv_orbit_21,GDV,3.4008
synthetic-medium,f99,rw_pagerank,RW,3.3267
synthetic-medium,f35,gdv_orbit_22,GDV,3.2693
synthetic-medium,f21,gdv_orbit_8,GDV,3.1607
synthetic-medium,f33,gdv_orbit_20,GDV,3.137
synthetic-medium,f95,rw_degree_centrality,RW,2.8763
synthetic-small,f86,rw_degree,RW,38.4077
synthetic-small,f14,gdv_orbit_1,GDV,36.9966
synthetic-small,f94,rw_min_neighbor_degree,RW,15.2077
synthetic-small,f105,rw_triangle_count,RW,8.2488
synthetic-small,f100,rw_core_number,RW,8.2443
synthetic-small,f102,rw_avg_dist_2hop_nbrs,RW,8.087
synthetic-small,f88,rw_return_prob_t2,RW,7.7142
synthetic-small,f97,rw_betweenness_centrality,RW,7.5208
synthetic-small,f89,rw_return_prob_t4,RW,6.6443
synthetic-small,f92,rw_avg_neighbor_degree,RW,5.3231
synthetic-small,f16,gdv_orbit_3,GDV,5.1766
synthetic-small,f1,vsko_sym3,VSKO,4.9381
synthetic-small,f0,vsko_sym2_1,VSKO,4.0645
synthetic-small,f87,rw_degree_normalized,RW,3.8385
synthetic-small,f104,rw_commute_time_proxy,RW,3.8313
synthetic-small,f90,rw_stationary_prob,RW,3.7962
synthetic-small,f103,rw_hitting_time_proxy,RW,3.7657
synthetic-small,f96,rw_closeness_centrality,RW,3.5432
synthetic-small,f98,rw_eigenvector_centrality,RW,3.5302
synthetic-small,f22,gdv_orbit_9,GDV,3.484
synthetic-small,f93,rw_max_neighbor_degree,RW,3.4316
synthetic-small,f95,rw_degree_centrality,RW,3.4086
synthetic-small,f13,gdv_orbit_0,GDV,3.4059
synthetic-small,f30,gdv_orbit_17,GDV,3.2596
synthetic-small,f29,gdv_orbit_16,GDV,3.2248
synthetic-small,f33,gdv_orbit_20,GDV,3.22
synthetic-small,f99,rw_pagerank,RW,3.1498
synthetic-small,f91,rw_local_clustering,RW,3.1064
synthetic-small,f34,gdv_orbit_21,GDV,2.9633
synthetic-small,f37,gdv_orbit_24,GDV,2.9455
synthetic-small,f21,gdv_orbit_8,GDV,2.8963
synthetic-small,f101,rw_eccentricity,RW,2.6465
synthetic-small,f35,gdv_orbit_22,GDV,2.6248
tudataset-MUTAG,f94,rw_min_neighbor_degree,RW,44.6319
tudataset-MUTAG,f86,rw_degree,RW,22.3729
tudataset-MUTAG,f14,gdv_orbit_1,GDV,17.2995
tudataset-MUTAG,f92,rw_avg_neighbor_degree,RW,13.7266
tudataset-MUTAG,f88,rw_return_prob_t2,RW,7.2664
tudataset-MUTAG,f89,rw_return_prob_t4,RW,6.4934
tudataset-MUTAG,f103,rw_hitting_time_proxy,RW,4.3539
tudataset-MUTAG,f97,rw_betweenness_centrality,RW,3.9842
tudataset-MUTAG,f100,rw_core_number,RW,2.9969
tudataset-MUTAG,f101,rw_eccentricity,RW,2.6648
tudataset-MUTAG,f104,rw_commute_time_proxy,RW,2.0384
tudataset-MUTAG,f13,gdv_orbit_0,GDV,1.9339
tudataset-MUTAG,f96,rw_closeness_centrality,RW,1.7642
tudataset-MUTAG,f21,gdv_orbit_8,GDV,1.7261
tudataset-MUTAG,f99,rw_pagerank,RW,1.6945
tudataset-MUTAG,f98,rw_eigenvector_centrality,RW,1.6639
tudataset-MUTAG,f22,gdv_orbit_9,GDV,1.5954
tudataset-MUTAG,f87,rw_degree_normalized,RW,1.4665
tudataset-MUTAG,f95,rw_degree_centrality,RW,1.4109
tudataset-MUTAG,f90,rw_stationary_prob,RW,1.3158
tudataset-MUTAG,f93,rw_max_neighbor_degree,RW,1.2463
